,Sheep,Wolves,Grass,SheepChange,WolfChange,GrassChange,SheepRepro,WolfRepro,GrassRegrowth
0,88,52,1258,-12,2,3,0.04,0.05,30
1,86,49,1261,-14,-1,6,0.04,0.05,30
2,84,50,1262,-16,0,7,0.04,0.05,30
3,87,51,1284,-13,1,29,0.04,0.05,30
4,84,53,1293,-16,3,38,0.04,0.05,30
5,83,52,1294,-17,2,39,0.04,0.05,30
6,83,52,1312,-17,2,57,0.04,0.05,30
7,82,55,1335,-18,5,80,0.04,0.05,30
8,79,56,1337,-21,6,82,0.04,0.05,30
9,79,56,1351,-21,6,96,0.04,0.05,30
10,80,60,1358,-20,10,103,0.04,0.05,30
11,81,60,1385,-19,10,130,0.04,0.05,30
12,78,60,1394,-22,10,139,0.04,0.05,30
13,79,58,1415,-21,8,160,0.04,0.05,30
14,82,56,1430,-18,6,175,0.04,0.05,30
15,81,58,1455,-19,8,200,0.04,0.05,30
16,83,56,1462,-17,6,207,0.04,0.05,30
17,77,57,1489,-23,7,234,0.04,0.05,30
18,77,54,1495,-23,4,240,0.04,0.05,30
19,76,53,1515,-24,3,260,0.04,0.05,30
20,78,51,1529,-22,1,274,0.04,0.05,30
21,76,50,1542,-24,0,287,0.04,0.05,30
22,78,50,1549,-22,0,294,0.04,0.05,30
23,77,51,1581,-23,1,326,0.04,0.05,30
24,73,50,1598,-27,0,343,0.04,0.05,30
25,72,51,1609,-28,1,354,0.04,0.05,30
26,72,52,1623,-28,2,368,0.04,0.05,30
27,72,53,1632,-28,3,377,0.04,0.05,30
28,70,54,1649,-30,4,394,0.04,0.05,30
29,70,53,1647,-30,3,392,0.04,0.05,30
30,69,51,1657,-31,1,402,0.04,0.05,30
31,68,50,1664,-32,0,409,0.04,0.05,30
32,68,49,1674,-32,-1,419,0.04,0.05,30
33,68,47,1677,-32,-3,422,0.04,0.05,30
34,71,44,1676,-29,-6,421,0.04,0.05,30
35,70,46,1689,-30,-4,434,0.04,0.05,30
36,71,48,1690,-29,-2,435,0.04,0.05,30
37,76,47,1683,-24,-3,428,0.04,0.05,30
38,78,47,1679,-22,-3,424,0.04,0.05,30
39,79,40,1675,-21,-10,420,0.04,0.05,30
40,83,39,1672,-17,-11,417,0.04,0.05,30
41,87,38,1678,-13,-12,423,0.04,0.05,30
42,92,37,1672,-8,-13,417,0.04,0.05,30
43,96,35,1659,-4,-15,404,0.04,0.05,30
44,96,34,1645,-4,-16,390,0.04,0.05,30
45,98,33,1622,-2,-17,367,0.04,0.05,30
46,99,31,1612,-1,-19,357,0.04,0.05,30
47,100,34,1585,0,-16,330,0.04,0.05,30
48,98,32,1581,-2,-18,326,0.04,0.05,30
49,100,29,1573,0,-21,318,0.04,0.05,30
50,102,27,1567,2,-23,312,0.04,0.05,30
51,99,26,1559,-1,-24,304,0.04,0.05,30
52,103,25,1545,3,-25,290,0.04,0.05,30
53,104,27,1533,4,-23,278,0.04,0.05,30
54,105,28,1523,5,-22,268,0.04,0.05,30
55,107,28,1505,7,-22,250,0.04,0.05,30
56,113,29,1483,13,-21,228,0.04,0.05,30
57,114,28,1471,14,-22,216,0.04,0.05,30
58,116,27,1453,16,-23,198,0.04,0.05,30
59,119,28,1437,19,-22,182,0.04,0.05,30
60,120,29,1432,20,-21,177,0.04,0.05,30
61,124,26,1427,24,-24,172,0.04,0.05,30
62,124,23,1411,24,-27,156,0.04,0.05,30
63,124,25,1394,24,-25,139,0.04,0.05,30
64,126,25,1381,26,-25,126,0.04,0.05,30
65,128,23,1370,28,-27,115,0.04,0.05,30
66,133,22,1359,33,-28,104,0.04,0.05,30
67,138,21,1347,38,-29,92,0.04,0.05,30
68,141,21,1333,41,-29,78,0.04,0.05,30
69,142,19,1329,42,-31,74,0.04,0.05,30
70,145,18,1316,45,-32,61,0.04,0.05,30
71,147,18,1294,47,-32,39,0.04,0.05,30
72,146,18,1289,46,-32,34,0.04,0.05,30
73,147,19,1287,47,-31,32,0.04,0.05,30
74,149,20,1281,49,-30,26,0.04,0.05,30
75,150,20,1283,50,-30,28,0.04,0.05,30
76,157,18,1271,57,-32,16,0.04,0.05,30
77,159,17,1268,59,-33,13,0.04,0.05,30
78,157,17,1261,57,-33,6,0.04,0.05,30
79,159,17,1250,59,-33,-5,0.04,0.05,30
80,166,17,1239,66,-33,-16,0.04,0.05,30
81,161,17,1223,61,-33,-32,0.04,0.05,30
82,164,17,1206,64,-33,-49,0.04,0.05,30
83,164,17,1191,64,-33,-64,0.04,0.05,30
84,165,18,1180,65,-32,-75,0.04,0.05,30
85,167,19,1178,67,-31,-77,0.04,0.05,30
86,166,21,1187,66,-29,-68,0.04,0.05,30
87,166,25,1179,66,-25,-76,0.04,0.05,30
88,165,25,1174,65,-25,-81,0.04,0.05,30
89,165,26,1176,65,-24,-79,0.04,0.05,30
90,166,25,1161,66,-25,-94,0.04,0.05,30
91,165,24,1153,65,-26,-102,0.04,0.05,30
92,168,20,1158,68,-30,-97,0.04,0.05,30
93,169,18,1150,69,-32,-105,0.04,0.05,30
94,169,18,1144,69,-32,-111,0.04,0.05,30
95,169,21,1131,69,-29,-124,0.04,0.05,30
96,174,23,1125,74,-27,-130,0.04,0.05,30
97,179,23,1123,79,-27,-132,0.04,0.05,30
98,181,24,1121,81,-26,-134,0.04,0.05,30
99,175,24,1122,75,-26,-133,0.04,0.05,30
100,172,26,1120,-3,2,-2,0.04,0.05,28
101,174,28,1116,-1,4,-6,0.04,0.05,28
102,171,28,1118,-4,4,-4,0.04,0.05,28
103,169,30,1118,-6,6,-4,0.04,0.05,28
104,170,28,1124,-5,4,2,0.04,0.05,28
105,166,30,1129,-9,6,7,0.04,0.05,28
106,169,27,1130,-6,3,8,0.04,0.05,28
107,168,28,1137,-7,4,15,0.04,0.05,28
108,167,26,1138,-8,2,16,0.04,0.05,28
109,168,27,1141,-7,3,19,0.04,0.05,28
110,168,27,1144,-7,3,22,0.04,0.05,28
111,176,27,1144,1,3,22,0.04,0.05,28
112,190,27,1144,15,3,22,0.04,0.05,28
113,192,29,1131,17,5,9,0.04,0.05,28
114,194,32,1128,19,8,6,0.04,0.05,28
115,190,33,1119,15,9,-3,0.04,0.05,28
116,188,33,1106,13,9,-16,0.04,0.05,28
117,185,32,1099,10,8,-23,0.04,0.05,28
118,191,33,1097,16,9,-25,0.04,0.05,28
119,189,35,1101,14,11,-21,0.04,0.05,28
120,195,34,1106,20,10,-16,0.04,0.05,28
121,195,33,1101,20,9,-21,0.04,0.05,28
122,196,34,1090,21,10,-32,0.04,0.05,28
123,199,33,1086,24,9,-36,0.04,0.05,28
124,192,30,1091,17,6,-31,0.04,0.05,28
125,191,27,1093,16,3,-29,0.04,0.05,28
126,194,26,1088,19,2,-34,0.04,0.05,28
127,186,26,1091,11,2,-31,0.04,0.05,28
128,186,28,1094,11,4,-28,0.04,0.05,28
129,186,27,1079,11,3,-43,0.04,0.05,28
130,189,26,1087,14,2,-35,0.04,0.05,28
131,181,26,1090,6,2,-32,0.04,0.05,28
132,185,29,1088,10,5,-34,0.04,0.05,28
133,189,30,1086,14,6,-36,0.04,0.05,28
134,185,28,1082,10,4,-40,0.04,0.05,28
135,181,27,1068,6,3,-54,0.04,0.05,28
136,183,28,1060,8,4,-62,0.04,0.05,28
137,187,31,1045,12,7,-77,0.04,0.05,28
138,185,31,1044,10,7,-78,0.04,0.05,28
139,178,32,1051,3,8,-71,0.04,0.05,28
140,177,32,1067,2,8,-55,0.04,0.05,28
141,177,33,1083,2,9,-39,0.04,0.05,28
142,180,32,1081,5,8,-41,0.04,0.05,28
143,177,30,1105,2,6,-17,0.04,0.05,28
144,176,28,1110,1,4,-12,0.04,0.05,28
145,180,29,1103,5,5,-19,0.04,0.05,28
146,177,31,1095,2,7,-27,0.04,0.05,28
147,179,32,1100,4,8,-22,0.04,0.05,28
148,181,36,1106,6,12,-16,0.04,0.05,28
149,176,35,1102,1,11,-20,0.04,0.05,28
150,175,34,1113,0,10,-9,0.04,0.05,28
151,183,34,1126,8,10,4,0.04,0.05,28
152,185,33,1132,10,9,10,0.04,0.05,28
153,188,30,1138,13,6,16,0.04,0.05,28
154,193,27,1137,18,3,15,0.04,0.05,28
155,192,24,1132,17,0,10,0.04,0.05,28
156,194,25,1106,19,1,-16,0.04,0.05,28
157,200,27,1129,25,3,7,0.04,0.05,28
158,199,28,1121,24,4,-1,0.04,0.05,28
159,188,30,1129,13,6,7,0.04,0.05,28
160,180,31,1131,5,7,9,0.04,0.05,28
161,181,30,1137,6,6,15,0.04,0.05,28
162,177,32,1138,2,8,16,0.04,0.05,28
163,178,33,1146,3,9,24,0.04,0.05,28
164,173,34,1142,-2,10,20,0.04,0.05,28
165,172,35,1141,-3,11,19,0.04,0.05,28
166,165,34,1149,-10,10,27,0.04,0.05,28
167,164,35,1149,-11,11,27,0.04,0.05,28
168,164,38,1155,-11,14,33,0.04,0.05,28
169,164,36,1145,-11,12,23,0.04,0.05,28
170,164,38,1151,-11,14,29,0.04,0.05,28
171,162,39,1151,-13,15,29,0.04,0.05,28
172,161,40,1164,-14,16,42,0.04,0.05,28
173,159,43,1183,-16,19,61,0.04,0.05,28
174,164,41,1188,-11,17,66,0.04,0.05,28
175,161,40,1197,-14,16,75,0.04,0.05,28
176,166,40,1201,-9,16,79,0.04,0.05,28
177,162,39,1205,-13,15,83,0.04,0.05,28
178,163,40,1196,-12,16,74,0.04,0.05,28
179,163,42,1189,-12,18,67,0.04,0.05,28
180,163,38,1174,-12,14,52,0.04,0.05,28
181,161,39,1168,-14,15,46,0.04,0.05,28
182,159,39,1161,-16,15,39,0.04,0.05,28
183,159,39,1162,-16,15,40,0.04,0.05,28
184,164,38,1182,-11,14,60,0.04,0.05,28
185,170,41,1168,-5,17,46,0.04,0.05,28
186,170,36,1176,-5,12,54,0.04,0.05,28
187,167,36,1172,-8,12,50,0.04,0.05,28
188,167,37,1154,-8,13,32,0.04,0.05,28
189,174,40,1150,-1,16,28,0.04,0.05,28
190,180,43,1148,5,19,26,0.04,0.05,28
191,176,46,1142,1,22,20,0.04,0.05,28
192,170,49,1144,-5,25,22,0.04,0.05,28
193,174,54,1154,-1,30,32,0.04,0.05,28
194,170,53,1157,-5,29,35,0.04,0.05,28
195,169,47,1167,-6,23,45,0.04,0.05,28
196,172,47,1165,-3,23,43,0.04,0.05,28
197,165,46,1174,-10,22,52,0.04,0.05,28
198,168,48,1167,-7,24,45,0.04,0.05,28
199,166,50,1171,-9,26,49,0.04,0.05,28
200,169,50,1158,3,0,-13,0.04,0.060000000000000005,28
201,173,51,1156,7,1,-15,0.04,0.060000000000000005,28
202,168,50,1160,2,0,-11,0.04,0.060000000000000005,28
203,168,52,1157,2,2,-14,0.04,0.060000000000000005,28
204,171,54,1157,5,4,-14,0.04,0.060000000000000005,28
205,174,59,1155,8,9,-16,0.04,0.060000000000000005,28
206,172,58,1160,6,8,-11,0.04,0.060000000000000005,28
207,169,60,1170,3,10,-1,0.04,0.060000000000000005,28
208,165,65,1182,-1,15,11,0.04,0.060000000000000005,28
209,163,61,1179,-3,11,8,0.04,0.060000000000000005,28
210,161,64,1183,-5,14,12,0.04,0.060000000000000005,28
211,159,66,1182,-7,16,11,0.04,0.060000000000000005,28
212,169,62,1185,3,12,14,0.04,0.060000000000000005,28
213,170,58,1180,4,8,9,0.04,0.060000000000000005,28
214,172,57,1195,6,7,24,0.04,0.060000000000000005,28
215,167,59,1204,1,9,33,0.04,0.060000000000000005,28
216,167,56,1207,1,6,36,0.04,0.060000000000000005,28
217,167,54,1215,1,4,44,0.04,0.060000000000000005,28
218,163,55,1210,-3,5,39,0.04,0.060000000000000005,28
219,157,57,1208,-9,7,37,0.04,0.060000000000000005,28
220,159,60,1210,-7,10,39,0.04,0.060000000000000005,28
221,163,57,1197,-3,7,26,0.04,0.060000000000000005,28
222,172,53,1184,6,3,13,0.04,0.060000000000000005,28
223,168,54,1179,2,4,8,0.04,0.060000000000000005,28
224,173,52,1180,7,2,9,0.04,0.060000000000000005,28
225,174,48,1181,8,-2,10,0.04,0.060000000000000005,28
226,171,50,1191,5,0,20,0.04,0.060000000000000005,28
227,170,52,1187,4,2,16,0.04,0.060000000000000005,28
228,169,50,1188,3,0,17,0.04,0.060000000000000005,28
229,170,49,1178,4,-1,7,0.04,0.060000000000000005,28
230,165,54,1169,-1,4,-2,0.04,0.060000000000000005,28
231,161,50,1158,-5,0,-13,0.04,0.060000000000000005,28
232,164,45,1163,-2,-5,-8,0.04,0.060000000000000005,28
233,163,48,1164,-3,-2,-7,0.04,0.060000000000000005,28
234,158,49,1169,-8,-1,-2,0.04,0.060000000000000005,28
235,158,51,1168,-8,1,-3,0.04,0.060000000000000005,28
236,156,53,1179,-10,3,8,0.04,0.060000000000000005,28
237,153,54,1186,-13,4,15,0.04,0.060000000000000005,28
238,155,53,1185,-11,3,14,0.04,0.060000000000000005,28
239,155,53,1188,-11,3,17,0.04,0.060000000000000005,28
240,154,55,1188,-12,5,17,0.04,0.060000000000000005,28
241,149,53,1196,-17,3,25,0.04,0.060000000000000005,28
242,149,55,1181,-17,5,10,0.04,0.060000000000000005,28
243,154,58,1179,-12,8,8,0.04,0.060000000000000005,28
244,155,58,1191,-11,8,20,0.04,0.060000000000000005,28
245,150,63,1175,-16,13,4,0.04,0.060000000000000005,28
246,151,65,1189,-15,15,18,0.04,0.060000000000000005,28
247,151,67,1190,-15,17,19,0.04,0.060000000000000005,28
248,159,71,1194,-7,21,23,0.04,0.060000000000000005,28
249,153,75,1204,-13,25,33,0.04,0.060000000000000005,28
250,148,80,1223,-18,30,52,0.04,0.060000000000000005,28
251,146,75,1223,-20,25,52,0.04,0.060000000000000005,28
252,140,76,1232,-26,26,61,0.04,0.060000000000000005,28
253,145,74,1229,-21,24,58,0.04,0.060000000000000005,28
254,145,74,1223,-21,24,52,0.04,0.060000000000000005,28
255,138,71,1236,-28,21,65,0.04,0.060000000000000005,28
256,141,70,1243,-25,20,72,0.04,0.060000000000000005,28
257,139,71,1263,-27,21,92,0.04,0.060000000000000005,28
258,136,70,1279,-30,20,108,0.04,0.060000000000000005,28
259,134,67,1290,-32,17,119,0.04,0.060000000000000005,28
260,133,67,1300,-33,17,129,0.04,0.060000000000000005,28
261,134,69,1307,-32,19,136,0.04,0.060000000000000005,28
262,131,70,1310,-35,20,139,0.04,0.060000000000000005,28
263,130,68,1307,-36,18,136,0.04,0.060000000000000005,28
264,133,74,1304,-33,24,133,0.04,0.060000000000000005,28
265,132,74,1308,-34,24,137,0.04,0.060000000000000005,28
